,obs,action
46,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.04024649  0.6666667  -0.00363126  0.        ]
  [ 1.          0.0960097   0.33333334 -0.00869766  0.        ]
  [ 1.          0.37293825  0.33333334 -0.00133876  0.        ]
  [ 1.          0.37546155  0.6666667   0.00811062  0.        ]]]",[4]
47,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.03888399  0.6666667  -0.00307865  0.        ]
  [ 1.          0.0926496   0.33333334 -0.00797521  0.        ]
  [ 1.          0.37240103  0.33333334 -0.00134952  0.        ]
  [ 1.          0.37870046  0.6666667   0.00807741  0.        ]]]",[4]
48,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.7734922e-02  6.6666669e-01 -2.5724042e-03
    0.0000000e+00]
  [ 1.0000000e+00  8.9562640e-02  3.3333334e-01 -7.3477509e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.7185958e-01  3.3333334e-01 -1.3593149e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.7998003e-01 -1.1102230e-16 -1.6786400e-02
    0.0000000e+00]]]",[4]
49,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.6781665e-02  6.6666669e-01 -2.1068691e-03
    0.0000000e+00]
  [ 1.0000000e+00  8.6713791e-02  3.3333334e-01 -6.7976639e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.7131464e-01  3.3333334e-01 -1.3662301e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.7339163e-01 -1.1102230e-16 -1.6010094e-02
    0.0000000e+00]]]",[4]
50,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.03600874  0.6666667  -0.00167725  0.        ]
  [ 1.          0.08407439  0.33333334 -0.0063114   0.        ]
  [ 1.          0.3671043   0.         -0.01529177  0.        ]
  [ 1.          0.37076756  0.33333334 -0.00136914  0.        ]]]",[4]
51,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.5402443e-02  6.6666669e-01 -1.2794751e-03
    0.0000000e+00]
  [ 1.0000000e+00  8.1620671e-02  3.3333334e-01 -5.8783735e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.6109582e-01 -1.1102230e-16 -1.4625044e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.7022001e-01  3.3333334e-01 -1.3673826e-03
    0.0000000e+00]]]",[4]
52,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4950614e-02  6.6666669e-01 -9.1007748e-04
    0.0000000e+00]
  [ 1.0000000e+00  7.9332747e-02  3.3333334e-01 -5.4902155e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.5534650e-01 -1.1102230e-16 -1.4004168e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6967400e-01  3.3333334e-01 -1.3605843e-03
    0.0000000e+00]]]",[4]
53,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  3.46423909e-02  6.66666687e-01 -5.66078641e-04
    0.00000000e+00]
  [ 1.00000000e+00  7.71937892e-02  3.33333343e-01 -5.14017837e-03
    0.00000000e+00]
  [ 1.00000000e+00  3.49838883e-01 -1.11022302e-16 -1.34240715e-02
    2.22044605e-16]
  [ 1.00000000e+00  3.69131505e-01  3.33333343e-01 -1.34854473e-03
    0.00000000e+00]]]",[4]
54,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4468040e-02  6.6666669e-01 -2.4491025e-04
    0.0000000e+00]
  [ 1.0000000e+00  7.5189471e-02  3.3333334e-01 -4.8227538e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.4455737e-01 -1.1102230e-16 -1.2880308e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6859471e-01  3.3333334e-01 -1.3311823e-03
    0.0000000e+00]]]",[4]
55,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4418795e-02  6.6666669e-01  5.5655695e-05
    0.0000000e+00]
  [ 1.0000000e+00  7.3307507e-02  3.3333334e-01 -4.5333863e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.3948803e-01 -1.1102230e-16 -1.2368992e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6806569e-01  3.3333334e-01 -1.3084969e-03
    0.0000000e+00]]]",[4]
56,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4486730e-02  6.6666669e-01  3.3756191e-04
    0.0000000e+00]
  [ 1.0000000e+00  7.1537293e-02  3.3333334e-01 -4.2682639e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.3461848e-01 -1.1102230e-16 -1.1886742e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6754659e-01  3.3333334e-01 -1.2805478e-03
    0.0000000e+00]]]",[4]
57,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4664664e-02  6.6666669e-01  6.0251117e-04
    0.0000000e+00]
  [ 1.0000000e+00  6.9869667e-02  3.3333334e-01 -4.0241657e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.2993755e-01 -1.1102230e-16 -1.1430607e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6703950e-01  3.3333334e-01 -1.2474388e-03
    0.0000000e+00]]]",[4]
58,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.4946058e-02  6.6666669e-01  8.5200282e-04
    0.0000000e+00]
  [ 1.0000000e+00  6.8296678e-02  3.3333334e-01 -3.7983491e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.2543525e-01  0.0000000e+00 -1.0998011e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6654648e-01  3.3333334e-01 -1.2093077e-03
    0.0000000e+00]]]",[4]
59,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  3.5324950e-02  6.6666669e-01  1.0873631e-03
    0.0000000e+00]
  [ 1.0000000e+00  6.6811398e-02  3.3333334e-01 -3.5884615e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.2110250e-01 -1.1102230e-16 -1.0586700e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6606947e-01  3.3333334e-01 -1.1663187e-03
    0.0000000e+00]]]",[4]
60,"[[[ 1.          0.74786484  0.6666667   0.3125      0.        ]
  [ 1.          0.11117817 -0.6666667  -0.03351645  0.        ]
  [ 1.          0.2335259  -0.6666667  -0.02722895  0.        ]
  [ 1.          0.35989046 -0.6666667  -0.01652015  0.        ]
  [ 1.          0.4743883  -0.33333334 -0.02505545  0.        ]]]",[4]
61,"[[[ 1.          0.86088955  0.6666667   0.25823045  0.        ]
  [ 1.          0.09741947 -0.60486215 -0.04919821 -0.02116042]
  [ 1.          0.22217607 -0.43658286 -0.03217352  0.04122518]
  [ 1.          0.36269274 -0.6666667   0.02159317  0.        ]
  [ 1.          0.46454987 -0.24218638 -0.03050092 -0.01764347]]]",[4]
62,"[[[ 1.          0.9626047   0.6666667   0.25108385  0.        ]
  [ 1.          0.07893435 -0.66103196 -0.03404634 -0.00235739]
  [ 1.          0.21155584 -0.34121975 -0.02357711  0.00330804]
  [ 1.          0.37057844 -0.6666667   0.01439904  0.        ]
  [ 1.          0.4542717  -0.32511815 -0.01339226 -0.00354476]]]",[4]
63,"[[[ 1.0000000e+00  1.0000000e+00  6.6666669e-01  2.5014272e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.7811780e-02 -6.6623408e-01 -1.9849313e-02
   -1.8400997e-04]
  [ 1.0000000e+00  2.0242834e-01 -3.3392438e-01 -2.2382962e-02
    2.4804729e-04]
  [ 1.0000000e+00  3.7564868e-01 -6.6666669e-01  1.5523327e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.4751284e-01 -3.3274534e-01 -2.0212498e-02
   -2.4681140e-04]]]",[4]
64,"[[[ 1.00000000e+00  1.00000000e+00  6.66666687e-01  2.50018805e-01
    0.00000000e+00]
  [ 1.00000000e+00  6.14981391e-02 -6.66636348e-01 -1.03849340e-02
   -1.30720955e-05]
  [ 1.00000000e+00  1.93437174e-01 -3.33377719e-01 -2.26623379e-02
    1.86104535e-05]
  [ 1.00000000e+00  3.82823706e-01 -6.66666687e-01  2.09524632e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.39138860e-01 -3.33289623e-01 -2.13577356e-02
   -1.83701632e-05]]]",[4]
65,"[[[ 1.0000000e+00  1.0000000e+00  6.6666669e-01  2.5000247e-01
    0.0000000e+00]
  [ 1.0000000e+00  5.8464285e-02 -6.6666466e-01 -3.8786079e-03
   -8.6724481e-07]
  [ 1.0000000e+00  1.8434045e-01 -3.3333668e-01 -2.2780828e-02
    1.4010614e-06]
  [ 1.0000000e+00  3.9175144e-01 -6.6666669e-01  2.4007540e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.3073136e-01 -3.3333009e-01 -2.0232124e-02
   -1.3665939e-06]]]",[4]
66,"[[[ 1.00000000e+00  1.00000000e+00  6.66666687e-01  2.50000328e-01
    0.00000000e+00]
  [ 1.00000000e+00  5.76763190e-02 -6.66666567e-01  5.52037556e-04
   -5.48504708e-08]
  [ 1.00000000e+00  1.75265417e-01 -3.33333582e-01 -2.24588625e-02
    1.05468494e-07]
  [ 1.00000000e+00  4.01649892e-01 -6.66666687e-01  2.56364774e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.22941536e-01 -3.33333105e-01 -1.82589311e-02
   -1.00301840e-07]]]",[4]
67,"[[[ 1.0000000e+00  1.0000000e+00  6.6666669e-01  2.5000003e-01
    0.0000000e+00]
  [ 1.0000000e+00  5.8417208e-02 -6.6666669e-01  3.5758570e-03
   -3.3565279e-09]
  [ 1.0000000e+00  1.6638558e-01 -3.3333334e-01 -2.1744043e-02
    7.9086897e-09]
  [ 1.0000000e+00  4.1204959e-01 -6.6666669e-01  2.6414823e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1597793e-01 -3.3333331e-01 -1.6148387e-02
   -7.2339792e-09]]]",[4]
